ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
AMZN,1997-08-08,26.0,27.63,25.25,27.5,184300.0,0.0,1.0,2.1666666666666665,2.3024999999999998,2.1041666666666665,2.2916666666666665,2211600.0
AMZN,1997-08-11,27.5,28.0,27.0,27.94,103300.0,0.0,1.0,2.2916666666666665,2.333333333333333,2.25,2.328333333333333,1239600.0
AMZN,1997-08-12,27.38,27.63,26.38,26.38,47600.0,0.0,1.0,2.2816666666666663,2.3024999999999998,2.1983333333333333,2.1983333333333333,571200.0
AMZN,1997-08-13,26.75,26.75,26.0,26.38,49200.0,0.0,1.0,2.2291666666666665,2.2291666666666665,2.1666666666666665,2.1983333333333333,590400.0
AMZN,1997-08-14,26.13,27.0,25.44,25.88,86800.0,0.0,1.0,2.1774999999999998,2.25,2.12,2.1566666666666663,1041600.0
AMZN,1997-08-15,23.5,25.88,23.25,25.38,133100.0,0.0,1.0,1.9583333333333333,2.1566666666666663,1.9375,2.1149999999999998,1597200.0
AMZN,1997-08-18,24.38,24.63,23.63,24.5,148700.0,0.0,1.0,2.0316666666666663,2.0524999999999998,1.9691666666666665,2.0416666666666665,1784400.0
AMZN,1997-08-19,25.13,26.5,24.63,26.0,83600.0,0.0,1.0,2.0941666666666663,2.208333333333333,2.0524999999999998,2.1666666666666665,1003200.0
AMZN,1997-08-20,25.0,26.25,24.88,26.0,83300.0,0.0,1.0,2.083333333333333,2.1875,2.0733333333333333,2.1666666666666665,999600.0
AMZN,1997-08-21,25.63,26.06,24.88,25.38,52000.0,0.0,1.0,2.1358333333333333,2.1716666666666664,2.0733333333333333,2.1149999999999998,624000.0
AMZN,1997-08-22,25.25,25.5,25.13,25.5,59400.0,0.0,1.0,2.1041666666666665,2.125,2.0941666666666663,2.125,712800.0
AMZN,1997-08-25,25.25,27.13,25.25,26.63,93900.0,0.0,1.0,2.1041666666666665,2.2608333333333333,2.1041666666666665,2.2191666666666663,1126800.0
AMZN,1997-08-26,26.88,28.25,26.75,28.13,214500.0,0.0,1.0,2.2399999999999998,2.3541666666666665,2.2291666666666665,2.3441666666666663,2574000.0
AMZN,1997-08-27,27.69,27.88,27.0,27.81,116000.0,0.0,1.0,2.3075,2.3233333333333333,2.25,2.3175,1392000.0
AMZN,1997-08-28,27.63,28.75,27.38,28.5,95600.0,0.0,1.0,2.3024999999999998,2.395833333333333,2.2816666666666663,2.375,1147200.0
AMZN,1997-08-29,28.38,28.5,27.88,28.06,60200.0,0.0,1.0,2.3649999999999998,2.375,2.3233333333333333,2.338333333333333,722400.0
AMZN,1997-09-02,28.13,28.5,28.0,28.25,61000.0,0.0,1.0,2.3441666666666663,2.375,2.333333333333333,2.3541666666666665,732000.0
AMZN,1997-09-03,28.13,29.0,27.75,28.0,163700.0,0.0,1.0,2.3441666666666663,2.4166666666666665,2.3125,2.333333333333333,1964400.0
